# tracer: function
#
# entries-in-buffer/entries-written: 1218/1218   #P:4
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] d.h. 38958.841237: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.841479: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.841510: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [002] .... 38958.841943: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.874519: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.874757: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.874788: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [002] .... 38958.875190: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.907802: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.908040: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.908071: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [002] .... 38958.908484: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.941085: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.941325: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.941357: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [002] .... 38958.941751: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.974371: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.974611: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.974643: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [002] .... 38958.975038: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38959.007655: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38959.007898: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38959.007930: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [002] .... 38959.008325: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38959.040937: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38959.041176: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38959.041208: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [002] .... 38959.041604: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
